,en_text,th_text
215989,Great. Thank you very much.,เยี่ยม ขอบคุณมากๆค่ะ
135146,"Okay, i think i found one.",ค่ะ คิกว่าเจออยู่สาขานึงนะคะ
129771,"regal warrington in pennsylvania has showtimes at 1:50pm, 4:35pm, and 6:50pm. which works for you?",ที่เรกอล วาร์ริงตันในเพนซิลเวเนียมีรอบฉาย บ่ายโมง 50 นาที 4โมง 35 นาที และ 6 โมง 50 นาทีค่ะ สนใจรอบไหนคะ
186455,did i get that correctly? Joe Bird?,เราฟังถูกไหมคะ โจ เบิร์ด
7724,How many miles away from you do you prefer?,สะดวกเดินทางไกลกี่ไมล์คะ
32183,Sure. From where?,ได้ค่ะ จากที่ไหนดีคะ
100640,Is there something available today?,มีคิวของวันนี้ว่างบ้างมั้ยคะ
35397,"I""ll give that a try...let's leave out the sugar then.",ลองก็ได้จ้ะ งั้นไม่เอาน้ำตาลแล้วกันนะ
56270,It's Emma Strong and my number is 480-555-8976.,เอ็มม่า สตรอง เบอร์ 480-555-8976
72979,Ok I'll let you know as soon as I find out what craziness it is this time. I'll talk to you later.,โอเค ถ้ารู้แล้วว่าคราวนี้เป็นบ้าอะไรแล้วจะบอกนะ ไว้คุยกัน
213467,"Okay. That's fine, thank you.",ค่ะ ได้ค่ะ ขอบคุณค่ะ
76833,"Ok, is 8pm available?",จ้ะ 2 ทุ่มว่างไหม
146439,Yes. What hours are they open on Thursdays?,ค่ะ วันพฤหัสพวกเขาเปิดกี่โมงหรอคะ?
54345,We'll be in front of the Gallery between Campus Parkway and 41st,เราจะไปรอที่หน้าแกลลอรี่ระหว่างแคมปัสปาร์กเวย์กับถนน 41 ค่ะ
39916,"I have one ventii hot Mocha, with whipped cream, and extra chocolate, and one Flat White. Is that correct?.",ฉันมี ม็อคค่าร้อนแก้วใหญ่ เพิ่มวิปครีม เพิ่มช็อกโกแลต แล้วก็แฟลตไวท์แก้วนึงนะคะ ถูกมั้ยคะ
82750,"To confirm, that's a Golden Caffè Latte?",ขอทวนอีกครั้งนะคะ ใช่โกลเดนคาฟเฟลาเต้มั้ยคะ
208909,did u need any more information?,ต้องการข้อมูลอะไรเพิ่มมั้ยคะ
16807,2016 Honda CR-V LX,ฮอนด้าซีอาร์วีแอลเอ็กซ์ 2016 ค่ะ
146308,"Okay, are the other services available?",โอเคค่ะ งั้นบริการอื่นที่ว่างละคะ?
90209,"Finally, the year?",โอเค ปีไหน
159655,What time do you want to see Green Book?,อยากไปดูกี่โมงคะ
198716,"ok. it looks like there's a 10am, 12pm, and 4pm appointment available.",โอเคค่ะ มีคิวว่างตอน 10 โมง เที่ยง และ 4 โมงเย็นค่ะ
26778,"I can help you getting tickets to see Bohemian Rhapsody, can I get your location?",จองได้ค่ะ ไม่ทราบว่าดูที่ไหนคะ
5476,"Yeah I figured, you never do, haha!",ค่ะ พอรู้ค่ะ คุณไม่เคยพกเงินสดเลยนี่คะ ฮ่า ๆ
215680,so did you want a big restaurant or intimate?,ชอบร้านใหญ่ ๆ หรือร้านแบบส่วนตัวคะ
132368,Maybe about 15 to 30 minutes.,ก็คงจะประมาณ 15 ถึง 30 นาทีนะคะ
83486,They'll both take me to the same spot but we have to get to the game.,ทั้งสองแบบจะไปส่งที่เดียวกัน แต่เราต้องไปที่เกมน่ะ
208552,I need a pickup from the airport to my house.,ต้องการให้มารับจากสนามบินไปบ้านค่ะ
143528,Strange noise coming from engine.,เสียงแปลกๆ ดังมาจากเครื่องยนตร์
102507,Large works.,งั้นเอาถาดใหญ่ค่ะ
113200,Anything else you'd like to know about the ride? Or would you like me to confirm the request.,มีอย่างอื่นที่อยากรู้เกี่ยวกับรถไหมคะ หรืออยากให้ฉันคอนเฟิร์มการจองไหมคะ
129336,"Great, it will be 15 dollars and take approximately 15 minutes to get there.",ค่ะ ราคาเป็น 15 ดอลลาร์นะคะ ใช้เวลาประมาณ 15 นาทีถึงที่หมายค่ะ
65285,"Okay, have a nice day.",โอเคค่ะ โชคดีนะคะ
199217,"Unfortunately, uber x only fits 4",ขอโทษนะคะอูเบอร์เอกซ์นั่งได้แค่ 4 คนค่ะ
148362,"ok, there is a $89 inspection fee which will be added to your total. can i continue booking your appointment?",โอเคค่ะ จะมีค่าเชคสภาพรถที่จะรวมไปกับค่าใช้จ่ายทั้งหมดด้วยนะคะ ให้จองต่อเลยไหมคะ
70083,Nope that's it.,ไม่ละ เอาแค่นั้น
199608,"Hi, I was looking to book an Uber.",สวัสดีค่ะ จะเรียกอูเบอร์ค่ะ
123575,That would be perfect.,ใช่เลยจ้ะ
162930,"4 mediums, 2 seafood, 1 meatlovers, 1 pepperoni sausage, onions, and extra cheese right?",พิซซ่าสี่ถาดกลาง ซีฟู้ดสองถาด มีทเลิฟเวอร์หนึ่งถาด อีกถาดเป็นเปปเปอโรนี่ ไส้กรอก หอมใหญ่ เพิ่มชีสนะคะ
191277,let me confirm your order: venti latte with soy milk and sugar free vanilla syrup is this correct?,ยืนยันออเดอร์นะคะ ลาเต้แก้วใหญ่ ใส่นมถั่วเหลืองและชูการ์ฟรีวานิลลาไซรัป ถูกต้องมั้ยคะ
20371,Do you want it right now?,เอาตอนนี้เลยมั้ย
36000,Sure let me double check the times.,ใช่ค่ะขอลองเช็คดูอีกครั้งนะคะ
124029,"Okay, great!",โอเคค่ะ เยี่ยมเลย
102341,They are booked for today. They have some openings tomorrow.,วันนี้เต็มหมดแล้วค่ะ พรุ่งนี้ยังพอมีว่างอยู่นะคะ
166035,"you got it, i've submitted the order. it'll be ready in 35 mins for pick up.",ได้ค่ะ สั่งเรียบร้อยแล้ว อาหารพร้อมให้มารับในอีก 35 นาทีค่ะ
146095,I have you confirmation number and a message,ฉันได้หมายเลขยืนยันและข้อความแล้วค่ะ
167792,"Yes, I'm interested. Is Pancho's Taqueria, does it do they offer wines or cocktails?",ค่ะ สนใจอยู่ ที่ร้านปันโชตาเกเรียนี่มีไวน์หรือค็อกเทลมั้ยคะ
72573,"Ok, I'll be waiting.",โอเค จะรอนะคะ
78527,111-111-1111,111-111-1111 จ้ะ
175913,"ok, what type of crust would you like?",โอเคค่ะ ต้องการขอบแป้งอะไรคะ
156015,"unfortunately, bella luna doesn't have alfredo sauce.",โทษทีนะคะ ที่ร้านเบลล่า ลูน่าไม่มีเมนูซอสอัลเฟรโด้
109961,May I have your name and phone number please?,ขอชื่อและเบอร์โทรของคุณหน่อยได้มั้ยคะ
157181,Obsidian o b s i d i a n.,ออบสิเดียน โอ บี เอส ไอ ดี ไอ เอ เอ็นค่ะ
144565,Ok. Still want the extra milk and sugar?,โอเคค่ะ ยังเพิ่มนมกับน้ำตาลเหมือนเดิมนะคะ
160524,"Unfortunately no, the shop is booked solid.",โชคไม่ดีค่ะ อู่คิวเต็มหมดเลยค่ะ
148087,"i have booked a table for 2 at ozumo's for tonight at 9pm, can i help with anything else?",จองโต๊ะสำหรับ 2 คนที่ร้านโอซูโม่สำหรับคืนนี้ตอน 3 ทุ่มนะคะ ให้ช่วยไรอีกปะคะ
13923,How will I know which car is mine?,ฉันจะรู้ได้ยังไงคะว่าคันไหนเป็นคันที่จองไว้
40337,There are multiple showings at 6:40pm or 9:10pm.,มีหลายรอบที่ฉายตอน 6 โมง 40 กับ 3 ทุ่ม 10 ค่ะ
162564,"ok, great, i'll schedule your appointment for 8:30, one moment.",โอเค เยี่ยมเลย ฉันจะจองคิวตอนแปดโมงครึ่งให้ สักครู่นะคะ
174631,"You, too. Bye.",เช่นกันครับ สวัสดีครับ
21466,"Awesome, what would you like?",เยี่ยมค่ะพี่ อยากได้อะไรคะ?
180136,"cool, take care then.",ดีเลยค่ะ ดูแลตัวเองด้วยนะคะ
8563,Right. Hips starting to look like muffin tops!,ไม่เอาค่ะ เอวฉันเริ่มจะดูเหมือนมัฟฟินเข้าไปทุกทีแล้ว
165995,"Alright, thank you.",ได้เลย ขอบคุณค่ะ
70838,"Ok they say you can drop it off by 4 pm today, but you might not get it back till tomorrow",โอเค งั้นเอาเป็นว่าคุณสามารถเอารถเข้าไปได้ตอน4โมงเย็น แต่อาจจะไม่ได้รถคืนภายในวันพรุ่งนี้นะคะ
183188,"correct, your ride is booked for tonight at 9pm.",ใช่ค่ะ จองรถไว้ตอนสามทุ่มคืนนี้ค่ะ
162093,"Now, but I have other work. All right, thank you.",ตอนนี้ค่ะ แต่มีงานอื่น ได้ค่ะ ขอบคุณนะคะ
188559,"ok, let me check that for you.",โอเค เดี๋ยวดูให้นะคะ
159,"I would like to have a bacon, sausage, and ham pizza with pineapples.",เอาหน้าเบคอน ซอสเสจ แฮม ใส่สับปะรดค่ะ
172788,Got it. And can you help me figure out which starbucks is closest to you?,รับทราบ คุณช่วยบอกหน่อยได้มั้ยคะว่าสตาร์บัคส์สาขาไหนอยู่ใกล้คุณ?
42167,What name and phone number would you like the appointment made under?,ชื่อกับเบอร์ที่จะใช้จองคืออะไร
105953,"Okay, let's try Lucilles Smokehouse.",โอเคค่ะ งั้นเอาลูซิลลีสสโม้กเฮ้าส์แทนค่ะ
41783,"Well, sounds like a different restaurant needs to be selected.",อืม ดูเหมือนจะต้องเลือกร้านอื่น
143105,"Excellent, it's all set. Shall I send you an email confirmation of the time and date?",เยี่ยม เรียบร้อยค่ะ ให้ส่งอีเมลยืนยันวันเวลามั้ยคะ
142475,"Okay, so on that specific time I don’t have any free tables? Would you consider. Coming a little earlier or later?",โอเคค่ะ เวลานั้นไม่มีที่ว่างนะคะ อยากมาเร็วหรือช้ากว่านั้นหน่อยไหมคะ
125686,"Alright, that would be $23.22, is that okay?",โอเคค่ะ ทั้งหมดเป็น 23.22$ นะคะ
92745,Just the traditional crust is fine,เอาแป้งดั้งเดิมก็ได้
67711,Sure thing. Which date do you need an uber for?,ได้เลย คุณอยากได้รถอูเบอร์วันไหนล่ะ
106512,We are currently out of pepperoni. Is there another topping you would like?,ตอนนี้เปปเปอโรนี่หมดค่ะ เอาอย่างอื่นแทนมั้ยคะ?
81177,"all right, let's make it for 6:30",โอเค ถ้างั้นเป็นช่วง 18:30
41650,Sit inside the restaurant at a booth please,ขอนั่งข้างในร้าน ตรงคอกจ้า
68473,I'm in Binghampton NY.,ฉันอยู่ที่บิงแฮมตั้น เอ็นวาย
5854,"Okay, I will order now.",โอเคค่ะ จะเรียกให้เดี๋ยวนี้
102636,"Okay. What is the make, model, and year of the car?",โอเคค่ะ ขอทราบยี่ห้อ รุ่นและปีของรถด้วยค่ะ
1543,The ride is on its way and you'll receive the status on your phone soon.,รถกำลังไปรับค่ะ อีกสักครู่จะเช็คตำแหน่งรถได้ทางมือถือนะคะ
2352,"OK, I see an opening for 10 a.m. Thursday. How is that?",โอเคค่ะ ดูเหมือนจะมีว่างอีกช่วงตอน 10 โมงวันพฤหัส พอได้มั้ยคะ
24038,The ambiance is romantic and intimate.,บรรยากาศโรแมนติกและส่วนตัวมากค่ะ
179155,"No problem, when would you like to book for?",ไม่มีปัญหาค่ะ ต้องการให้จองกี่โมงคะ
132684,Adult tickets are $10. Child tickets are $5. How many tickets would you like?,ตั๋วผู้ใหญ่ราคา 10 ดอลลาร์ ตั๋วเด็กราคา 5 ดอลลาร์ ต้องหารตั๋วกี่ใบคะ
92099,"No we definitely want to sit outside the weather is suppose to be super nice, what about between 6:30 and 7:30?",ไม่ล่ะ เราอยากนั่งด้านนอก อากาศน่าจะดีมากเลย ลอง 6 โมง 30 กับ 1 ทุ่ม 30 หน่อยสิ
147815,The cheapest one is the UberX and it costs $31.91.,ราคาถูกสุดคืออูเบอร์เอ็กว์ ราคา 31.91 ดอลลาร์
187970,How many pizza would you like to order today?,วันนี้ต้องการสั่งพิซซ่ากี่ถาดคะ
127652,"They really like the Song Amore, but didn't want to rip it off so they made a compromise.",พวกเขาชอบเพลงอะมอเร่มาก แต่ไม่อยากลอกมาเลยลงเอยอย่างนี้ค่ะ
214887,Times available: 7PM 8:30PM and 9:15PM,เวลาที่จองได้คือ หนึ่งทุ่ม สองทุ่มครึ่ง และสามทุ่มสิบห้าค่ะ
51903,"Hi, I am looking to book a table for this Friday.",สวัสดีค่ะ อยากจองโต๊ะที่ร้านอาหารสำหรับวันศุกร์นี้ค่ะ
166418,i found a 9:30pm session at The Grand Slidell and a 5:15pm at Acadiana Cinemas Picayune 4.,มีรอบ 3 ทุ่มครึ่งที่เดอะ แกรนด์ สลิเดลล์ และรอบ 5 โมง 15 ที่อคาเดียนา ซินีม่าส์ พิคายูน 4 ค่ะ
109007,Your order of one large golden cold brew fog latte with soy milk will be ready for you in 10 minutes.,คุณสั่งเป็นโกลเดนโคลด์บรูวฟ็อกลาเต้แก้วใหญ่ใส่นมถั่วเหลืองนะคะ อีก 10 นาทีเครื่องดื่มของคุณจะเสร็จค่ะ
98291,"On second thought, what's the price of UberX?",คิดดูอีกที อูเบอร์เอ็กซ์ราคาเท่าไหร่คะ
204501,I've booked the tickets. You'll get them via mobile in just a moment. Anything else?,จองบัตรให้แล้วค่ะ จะได้รับทางมือถือในไม่ช้า อย่างอื่นอีกไหมคะ
55573,Just booked it. It says the car should be there in 13 minutes.,จองแล้วค่ะ แอพบอกว่ารถจะไปถึงอีก 13 นาทีค่ะ
208265,"2 large gourmet pizzas with pepperoni, mushroom, and olives.",พิซซ่ากัวร์เมต์ 2 ถาดใหญ่ใส่เปปเปอโรนี เห็ดและมะกอกค่ะ
94095,Should be about twenty-five minutes.,อีกประมาณ 25 นาทีค่ะ
166078,"They have showings at AMC River East at 8:45, 10:45, 11:15, 11:45, and 12.","รอบฉายที่โรงเอเอ็มซี ริเวอร์ อีสท์ มีตอน 8.45, 10.45, 11.15, 11.45, และ 12.00 น."
40105,I'd like seafood.,อยากกินอาหารทะเล
116564,what movie would you like?,อยากดูเรื่องอะไรคะ?
161839,First option.,ร้านแรกค่ะ
139088,I'd like to get a large mushroom meat pizza.,ขอเป็นพิซซ่าเห็ดกับเนื้อถาดใหญ่นะ
138075,Would you like to order anything else?,ต้องการสั่งอะไรเพิ่มมั้ยคะ
194350,I need to make dinner reservations in San Francisco.,พี่อยากจะจองโต๊ะสำหรับมื้อเย็นในร้านสักแห่งในซานฟรานซิสโก
195763,Hi how can i help you?,สวัสดีค่ะ มีอะไรให้ช่วยมั้ยคะ
157091,and what type of vehicle do you have?,แล้วรถของคุณเป็นรถอะไรคะ?
129466,The particular movie I want to watch which is Mission Impossible by Tom Cruise.,หนังที่ฉันต้องการดูคือเรื่อง ปฏิบัติการไร้เงา เล่นโดยทอม ครูซค่ะ
99685,I want the store at Eola Road.,อยากได้จากร้านตรงถนนอีโอล่าค่ะ
76364,Will you need handicapped seating?,พี่อยากได้ที่นั่งคนพิการไหมคะ
82195,Is there somewhere else you had in mind,งั้นมีที่อื่นที่คิดไว้ไหม
1276,"Yes, it's freezing!",ใช่! หนาวมาก!
207441,"yes, they do, would you like me to add coconut milk for you?",ค่ะ มีค่ะ ให้ใส่นมมะพร้าวมั้ยคะ
93845,I guess Im not going to make a reservation at all.,ฉันคิดว่าฉันจะไม่จองตั๋วค่ะ
81502,"Yup, they're called Intelligent Auto Solutions",มีค่ะ ชื่อร้านอินเทลลิเจนต์ ออโต โซลูชันส์ค่ะ
145723,tonight after work,คืนนี้หลังเลิกงานค่ะ
149923,"That's perfect. Who directed Yes, I want to purchase now. Who directed this movie?",เยี่ยมเลยค่ะ ซื้อตั๋วเลยค่ะ ว่าแต่ใครเป็นผู้กำกับคะ
85166,What is your car model,รถรุ่นอะไรคะ
43670,and the model?,โมเดลล่ะคะ
15327,Book 2 tickets to see The Upside,จองตั๋ว 2 ใบสำหรับดิอัพไซด์ค่ะ
146431,"Ok, the total for this is going to come to $24.",โอเคค่ะ ทั้งหมดคิดเป็นเงิน $24 ค่ะ
210502,Have a great day.,ไปดีมาดีนะคะ
213967,"they already come with mushrooms, did you want extra on one of them?",พิซซ่าหน้าเวจจี้เลิฟเวอร์มีเห็ดอยู่แล้วนะคะ คุณอยากใส่เพิ่มไหมคะ
119009,That means I'll be there till they close at 7p. Ok lets do it.,หมายความว่าฉันต้องไปที่นั่นจนกระทั่งเขาปิดในเวลา 1 ทุ่มใช่มั้ยคะ โอเคค่ะ
69569,What toppings would you like on your pizza.,อยากให้ใส่ท็อปปิ้งอะไรบนพิซซ่าดีคะ?
122642,"Yes, it does. I'll pass along that information.",ได้ค่ะพี่ ช่วยได้มากเลย กำลังจะส่งข้อมูลนะคะ
104225,Ok what type of car would you like?,โอเคค่ะ ต้องการรถแบบไหนคะ
28487,"well, they have a 5pm, and a 8pm near the window",ก็ เขามีตอน 5 โมง แล้วก็ 2 ทุ่ม ใกล้หน้าต่างค่ะ
206206,"Can you tell me if there's any specials, or what both are known for?",บอกได้มั้ยคะว่าร้านไหนมีอะไรพิเศษ หรือว่าดังเรื่องอะไร
161187,We are at LA Memorial Colosseum.,ที่แอลเอเมมโมเรียลคอลอสเซียมค่ะ
210749,"waterbar restaurant has a 4.4 star review and over 1400 reviews on google, while farallon has a 4.4 star rating and over 500 reviews on google.",ร้านวอเตอร์บาร์มีเรทติ้งอยู่ที่ 4.4 ดาวค่ะ จากรีวิวในกูเกิ้ลกว่า 1400 รีวิวค่ะ ในขณะที่ฟาราลลอนมี 4.4 ดาว จากผู้รีวิวกว่า 500 คนค่ะ
81045,Need a restaurant reservation made,จองโต๊ะที่ร้านอาหารให้หน่อย
189050,"Hi, how may i help?",สวัสดีค่ะ ให้ช่วยอะไรดีคะ
85939,"let me see, there is a popular seafood restaurant in Reston town center called Passionfish, I heard they are good",ขอดูก่อนนะคะ มีร้านอาหารทะเลที่เป็นที่นิยมในเรสตันทาวน์เซ็นเตอร์ชื่อแพชชั่นฟิชน่ะค่ะ ได้ยินมาว่าดีมากเลยนะคะ
206297,Have a bella day!,ขอให้เป็นวันที่ดีค่ะ
150183,let me check the availability.,ขอเช็กก่อนนะคะว่าว่างมั้ย
6797,"Which size? They have small, medium, large, or extra large.",เอาขนาดไหนคะ มีเล็ก กลาง ใหญ่ ใหญ่พิเศษค่ะ
53305,Can you go get me some Starbucks?,ช่วยไปซื้อสตาร์บัคส์ให้หน่อยได้มั้ยคะ?
221721,"so with 4 large pizza, 1 pepperoni, 1 bacon with olive, 1 pepperoni with bacon and olive and 1 meat lover your total comes to 100 dollars, shall we confirm the order?",เป็นพิซซ่า 4 ถาดใหญ่ มีหน้าเปบเปอโรนี 1 ถาด หน้าเบคอนกับมะกอก 1 ถาด พิซซ่าหน้าเปบเปอโรนี เบคอน กับ หอมใหญ่ 1 ถาด พิซซ่าหน้ามีทเลิฟเวอร์ส 1 ถาด รวมเป็นเงิน 100 ดอลล่าห์ ยืนยันการสั่งไหมคะ
158356,"Hi. I was looking for lunch in Midtown Sacramento, near L Street and 19th Street.",สวัสดีค่ะ ฉันอยากหาร้านทานอาหารเที่ยงในมิดทาวน์ ซาคราแมนโต้ ใกล้ๆ ถนนแอลสตรีทกับถนนหมายเลข 19 ค่ะ
218102,"Okay, 7:10 works.",โอเค 1 ทุ่ม 10 ก็ได้ค่ะ
93007,The total is $27.50 and the receipt will be sent to your email.,คิดเป็นเงินทั้งหมด $27.50 ค่ะ ใบเสร็จรับเงินจะถูกส่งเข้าอีเมล์ของคุณ
92822,"Ok, well just to make sure I got this right...You want me to reserve and purchase four tickets for the movie US, at 11:30 at the downtown AMC...is that right?",โอเค ขอทวนหน่อยนะคะ อยากให้จองตั๋วสี่ใบเรื่อง อัส รอบ 5 ทุ่ม 30 ที่เอเอ็มซีในตัวเมือง ถูกมั้ยคะ
35791,"Thanks, Sarah.",ขอบใจซาร่า
143337,"Sure, I having a good day, thank you for asking!",ได้ค่ะ วันนี้กำลังไปได้สวย ขอบคุณที่ถามนะคะ
209694,Good morning!,อรุณสวัสดิ์ค่ะ!
18144,"perfect, thanks",เพอร์เฟคค่ะ ขอบคุณนะคะ
219279,"hi, how can i assist you?",ดีค่ะ ให้ช่วยอะไรคะ
218379,Hey. I need to go from the Woodfield Mall down to another mall.,สวัสดีค่ะ อยากให้มารับที่ห้างวูดฟีลด์ ส่งอีกห้างนึงค่ะ
166571,"great, i've booked your appointment. do you need the directions or address?",ค่ะ ทำการจองให้เรียบร้อยแล้ว ต้องการที่อยู่ร้านมั้ยคะ
113607,can you please provide your name and number?,ขอทราบชื่อและเบอร์โทรด้วยค่ะ
153937,Driver will arrive in 7 min.,รถจะไปถึงใน 7 นาทีค่ะ
68003,It will be for pickup.,เอาเป็นสั่งกลับนะ
33088,"Sir, it's Tom. I talked to George's. They would love to have all of you but they can't take you at 7:30.",คุณครับ ทอมนะครับ ผมลองโทรไปที่ร้านแล้ว พวกเขาสามารถรับพวกคุณได้ แต่ว่าร้านไม่ว่างตอนทุ่มครึ่งครับ
12153,There will be a $90 inspection fee that can be put toward the repair cost. Is that acceptable?,ค่าตรวจเช็ค $90 ค่ะ ค่าซ่อมจะเพิ่มอีกที โอเคมั้ยคะ
5135,"really? okay, bummer. well, what do they have?",จริงเหรอคะ โอเค แย่จริง งั้นมีอะไรเหลือบ้างคะ
156500,Ok great thank you.,โอเค เยี่ยม ขอบใจ
89706,"Hi, I would like to order a ride please. Are there any cars available?",เราต้องการรถมารับอ่ะ มีรถว่างบ้างไหม
42555,"Okay, they will be there to pick you up in 45 minutes. Can I have your phone number please?",โอเค คนขับจะไปรับคุณใน 45 นาที ขอเบอร์โทรได้มั้ย
21772,"Oh, are those Cinnamon Shortbread frappuccinos available as Creme frapps?",เอ้อ ชินนาม่อน ชอร์ตเบรด แฟรบปูชิโน่มีแบบครีม แฟรบไหม?
29003,"The one in Victorville, California on Bear Valley Road, please",สาชาวิคเตอร์วิลล์ แคลิฟอร์เนียที่ถนนแบร์วาลเล่
37292,the one on spring street.,สาขาที่ถนนสปริงก็ได้นะ
196424,"great, how many tickets will you need?",เยี่ยมเลยค่ะ ต้องการตั๋วกี่ใบคะ
72817,"Okay, should I note anything else for the mechanic?",โอเค ควรเขียนโน้ทอะไรสำหรับช่างยนต์มั้ยคะ
178516,"Something that's cheap, relaxed atmosphere, and high reviews.",เป็นร้านราคาไม่แพง บรรยากาศสบาย ๆ แล้วก็รีวิวดีน่ะค่ะ
63728,Are there tickets available to see Shazam this afternoon?,บ่ายวันนี้มีตั๋วเรื่องชาแซมเหลืออยู่บ้างมั้ยคะ
190776,What's the right type?,ต้องเลือกรถแบบไหนคะ
87303,"Yes, tell them it's for Mark Davis. And give them my secondary phone number.",มีค่ะๆ บอกเขาด้วยว่ารถนั้นทำให้คุณมาร์ค เดวิสนะ แล้วก็เอาเบอร์สำรองให้เขาด้วย
139528,Right on. I just logged onto their web page. It shouldn't take long.,ได้เลยค่ะ กำลังเข้าเว็บนะคะ น่าจะใช้เวลาไม่นาน
73809,How would you like the first one,ถาดแรกรับแบบไหนดีคะ
141156,The red one. The one that has the dent.,คันแดง อันที่มีรอยบุบอ่ะ
166511,may i also have your phone number?,ขอเบอร์โทรศัพท์ด้วยนะคะ
59346,Andrew Smith 2078424371,แอนดรูว์ สมิท 2078424371 ครับ
118039,"No, I'm okay with the honey and the whipped cream.",ไม่ละเอาแค่น้ำผึ้งกับวิปครีม
51437,Thank you. Sorry to put you in the middle.,ขอบคุณค่ะ ขอโทษที่ต้องให้คุยให้นะคะ
158789,916-329-8033.,เบอร์ 916-329-8033 นะคะ
212991,We're going all out today. Let's make them Meat Lovers with extra cheese.,วันนี้ว่าจะออกไปข้างนอก เอาเป็นหน้ามีตเลิฟเวอร์ เพิ่มชีสค่ะ
58684,Which theater would you like?,ที่โรงไหนคะ
221940,"Can I order for pickup, please?",เอาเป็นไปรับที่ร้านได้ไหม
27600,"Yes, 9 is available",ได้ เก้าโมงว่าง
221711,so thats 4 large pizza is that right?,ต้องการสั่งพิซซ่าสี่ถาดใหญ่ใช่ไหมคะ
174749,"great, have a lovely day.",ค่ะ ขอให้เป็นวันที่ดีนะคะ
19382,"Hey, could you please order me something from Starbucks?",เฮ้ ช่วยสั่งอะไรให้ฉันจากสตาร์บัคส์หน่อยสิ
170571,do you want to purchase now?,ต้องการชำระเงินเลยมั้ยคะ
127145,"Yeah. Sorry. My wife was calling. Yes, please. My wife was asking me a question.",อ่า ขอโทษที ภรรยาฉันเรียกอยู่ ใช่ รบกวนที ภรรยากำลังถามคำถามฉันอยู่
128650,I definetely want an economy reservation.,ขอจองเป็นแบบประหยัดค่ะ
5640,Drats! ugh. Ok they have a Caramel Cloud that is pretty good. Oh hot please not cold.,แย่จัง! เฮ้อ โอเคค่ะ มีเมนูคาราเมล คลาวด์ ที่อร่อย ๆ อยู่น่ะค่ะ อ๋อ แล้วก็เอาเป็นแบบร้อนนะคะ ไม่เอาเย็น
9057,"Okay, thanks.",โอเคค่ะ ขอบคุณค่ะ
49496,"Hi, I'd like to have my car looked at because it's making a grinding noise",สวัสดีค่ะ อยากจะเอารถเข้าอู่หน่อย มันมีเสียงครืดคราดเหมือนอะไรบดกันซักอย่างน่ะค่ะ
81778,From AMC cinema at Naperville to my home.,จากโรงหนังเอเอ็มซีที่เนเปอร์วิลล์ไปที่บ้านฉันค่ะ
155660,"sure, let's get that started. what is your name?",ได้ค่ะ ไม่ทราบชื่ออะไรคะ
173326,"Did you want 3D, or standard for your movie?",ต้องการดู 3 มิติ หรือธรรมดาคะ
50648,"Great, get me the family pie with extra cheese, half mushrooms and half asparagus.",เยี่ยมเลย งั้นเอาถาดขนาดสำหรับครอบครัว เพิ่มชีส ใส่เห็ดครึ่งนึง หน่อไม้ฝรั่งอีกครึ่งนึงค่ะ
132966,your driver will be there in 5 minutes.,คนขับจะไปถึงในอีก 5 นาทีนะคะ
190599,Okay. That works.,โอเค ได้ค่ะ
205567,"sure, i will send you a confirmation text and you will show the box office.",ได้ค่ะ เดี๋ยวจะส่งข้อความยืนยันไปให้ แล้วนำไปโชว์ที่ช่องจำหน่ายตั๋วนะคะ
175877,it will be ready in 20 minutes.,จะพร้อมรับกลับใน 20 นาทีนะคะ
137478,Can you try the one in North Miami for me?,ลองดูที่นอร์ทไมอามี่ได้มั้ยคะ
198539,"Okay, would you like to hear about the standard showings or the LUX ones?",โอเคค่ะ อยากทราบรอบแบบปกติหรือรอบแบบลักซ์ดีคะ?
175819,"Got it. That's a dinner for 2 next thursday, the 7th at 8pm for Cotogna, I put anniversary dinner in the notes.",ได้เลยค่ะ เป็นดินเนอร์ 2 ท่านวันพฤหัสที่ 7 เวลา 2 ทุ่มที่ร้านโคทอคนา โน้ตไปว่าเป็นดินเนอร์วันครบรอบนะคะ
199797,"all set, 9pm at perbacco on sunday the 24th, for 4 people.",เรียบร้อยแล้วนะคะ 3 ทุ่ม ร้านเปอร์แบกโก วันอาทิตย์ที่ 24 นะคะ 4 ท่าน
19504,A Venti is standard with 3 shots.,ไซส์เวนติมีเอสเปรสโซ๋สามช็อต
88616,Starbucks works.,จากสตาร์บัคส์จะดีนะ
170747,"No, thank you.",ไม่เป็นไรครับ ขอบคุณ
212387,"house of prime rib has a kids menu that serves smaller portions, 5A5 doesn't have a kids menu.",เฮาส์ออฟไพร์มริบมีเมนูเด็ก ที่ปริมาณน้อยกว่าค่ะ แต่ว่าร้าน 5เอ5 ไม่มีเมนูสำหรับเด็ก
115933,"Standard, please.",รอบปกติค่ะ
66122,I need a appointment for my car asap.,อยากนัดซ่อมรถด่วนที่สุดครับ
129042,"Ok. The Madison one is closer to where we are, let's go with that one.",โอเค โรงเมดิสันน่าจะใกล้กับที่เราอยู่มากกว่า ไปที่นั่นแล้วกัน
102984,I'd like two tickets to see Glass.,ต้องการจะซื้อตั๋วสองใบสำหรับหนังเรื่องกลาสค่ะ
183973,"ok great, do you need anything else?",โอเค เยี่ยมค่ะ ต้องการอะไรอีกมั้ยคะ
